worker_idx,round,loss,time,timedelta
2,19,0.6600475788116456,2025-07-25 11:04:43.088103,0 days 00:00:00.639394
1,16,0.6365093231201172,2025-07-25 11:04:43.093060,0 days 00:00:00.644351
5,14,0.6974324226379395,2025-07-25 11:04:43.096682,0 days 00:00:00.647973
3,17,0.6492636680603028,2025-07-25 11:04:43.100240,0 days 00:00:00.651531
4,15,0.6731353282928467,2025-07-25 11:04:43.103393,0 days 00:00:00.654684
2,20,0.6547082901000977,2025-07-25 11:04:43.108920,0 days 00:00:00.660211
5,15,0.6948519706726074,2025-07-25 11:04:43.113065,0 days 00:00:00.664356
1,17,0.6346896171569825,2025-07-25 11:04:43.115439,0 days 00:00:00.666730
2,20,0.6529395580291748,2025-07-25 11:04:43.118132,0 days 00:00:00.669423
4,16,0.6688121795654297,2025-07-25 11:04:43.121610,0 days 00:00:00.672901
3,18,0.6482916355133057,2025-07-25 11:04:43.125899,0 days 00:00:00.677190
5,16,0.6927596092224121,2025-07-25 11:04:43.129395,0 days 00:00:00.680686
1,18,0.6319390296936035,2025-07-25 11:04:43.133307,0 days 00:00:00.684598
3,19,0.6458502292633057,2025-07-25 11:04:43.136896,0 days 00:00:00.688187
4,17,0.6673106193542481,2025-07-25 11:04:43.141127,0 days 00:00:00.692418
5,17,0.6893082618713379,2025-07-25 11:04:43.146184,0 days 00:00:00.697475
1,19,0.6293744087219239,2025-07-25 11:04:43.149132,0 days 00:00:00.700423
4,18,0.6641246795654296,2025-07-25 11:04:43.152672,0 days 00:00:00.703963
3,20,0.6434163570404052,2025-07-25 11:04:43.157050,0 days 00:00:00.708341
5,18,0.6888808250427246,2025-07-25 11:04:43.160410,0 days 00:00:00.711701
4,19,0.6621532917022706,2025-07-25 11:04:43.163718,0 days 00:00:00.715009
1,20,0.625978660583496,2025-07-25 11:04:43.168013,0 days 00:00:00.719304
3,20,0.6423564910888672,2025-07-25 11:04:43.170230,0 days 00:00:00.721521
5,19,0.6857211112976074,2025-07-25 11:04:43.175223,0 days 00:00:00.726514
4,20,0.659242820739746,2025-07-25 11:04:43.238516,0 days 00:00:00.789807
